[2025-06-09 14:28:05] User -> FPS added ->admin@pds| Requested JSON -> {"name":"tester","type":"Model FPS","latitude":"10.00000","longitude":"11.00000","district":"Abcdefg","id":"1","demand":"1","demand_rice":"1","demand_frice":"1"}
[2025-06-09 14:49:31] User -> FPS Data Edit->admin@pds| Requested JSON -> {"name":"tester","uniqueid":"FPS_6846a21d163","active":"1","type":"Model FPS","latitude":"10.00000","longitude":"11.00000","district":"Abcdefg","id":"1","demand":"2","demand_rice":"1","demand_frice":"1"}
[2025-06-09 16:09:37] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:11:41] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:13:22] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:26:00] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:28:24] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:28:39] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:28:58] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:29:59] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
[2025-06-09 16:51:00] User -> FPS Added -> admin@pds| X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*
