[2026-04-22 18:13:54] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:15:53] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:17:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:18:11] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:20:48] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:24:28] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:26:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:28:56] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:36:07] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 18:36:48] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:11:52] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:13:54] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:15:58] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:17:50] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:38:04] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:45:11] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 22:53:34] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:00:00] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:17:17] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:22:55] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:29:34] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:37:32] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:37:58] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-04-22 23:52:06] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'april'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
