[2025-03-12 10:55:33] User -> FPS added ->admin@pds| Requested JSON -> {"name":"AAAAAA","type":"Model FPS","latitude":"24.3253","longitude":"76.4765","district":"Ahmedabad","id":"31546","demand":"300","demand_rice":"200","demand_frice":"100"}
[2025-03-12 10:59:51] User -> FPS InActive -> admin@pds| AAAAAA
[2025-03-12 11:00:51] User -> FPS Active -> admin@pds| AAAAAA
[2025-03-12 11:14:42] User -> FPS Edit->admin@pds| Requested JSON -> {"name":"AAbbbb","uniqueid":"FPS_67d11acd858","active":"1","type":"Model FPS","latitude":"24.3253","longitude":"76.4765","district":"Ahmedabad","id":"31546","demand":"300","demand_rice":"200","demand_frice":"100"}
[2025-03-12 11:17:44] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"FPS_67d11acd858"} | Aabbbb
[2025-03-12 11:17:54] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-03-12 11:23:01] User -> FPS Added -> | abc
[2025-03-12 11:23:01] User -> FPS Added -> | abc
[2025-03-12 11:23:01] User -> FPS Added -> | abc
[2025-03-12 11:23:01] User -> FPS Added -> | abc
[2025-03-12 11:23:01] User -> FPS Added -> | abc
[2025-03-12 11:27:25] User -> FPS Edit -> | abc
[2025-03-12 11:27:25] User -> FPS Edit -> | abc
[2025-03-12 11:27:25] User -> FPS Edit -> | abc
[2025-03-12 11:27:25] User -> FPS Edit -> | abc
[2025-03-12 11:27:25] User -> FPS Edit -> | abc
[2025-03-12 11:32:29] User -> Model FPS InActive -> admin@pds| Mehsana
[2025-03-12 11:32:48] User -> Normal FPS InActive -> admin@pds| Mehsana
[2025-03-12 11:33:52] User -> FPS added ->admin@pds| Requested JSON -> {"name":"ABCD","type":"Model FPS","latitude":"24.3253","longitude":"76.4765","district":"Ahmedabad","id":"52462","demand":"300","demand_rice":"200","demand_frice":"000"}
[2025-03-12 11:34:16] User -> FPS Edit->admin@pds| Requested JSON -> {"name":"ABCD","uniqueid":"FPS_67d123c8dfd","active":"1","type":"Model FPS","latitude":"24.3253","longitude":"76.4765","district":"Ahmedabad","id":"52462","demand":"0","demand_rice":"000","demand_frice":"000"}
[2025-03-12 11:34:27] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"FPS_67d123c8dfd"} | Abcd
[2025-03-12 11:35:04] User -> Normal FPS InActive -> admin@pds| Mehsana
[2025-03-12 11:35:30] User -> FPS InActive -> admin@pds| abc
[2025-03-12 11:35:37] User -> FPS Active -> admin@pds| abc
[2025-03-12 11:35:52] User -> Normal FPS InActive -> admin@pds| Mehsana
[2025-03-12 11:37:03] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
[2025-03-12 11:37:25] User -> FPS Added -> | abc
