[2025-04-02 19:33:28] User -> District added ->admin@pds| Requested JSON -> {"name":"Demo"}
[2025-04-02 19:33:52] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Test","uid":"'67ed43b0c39e7'"}
[2025-04-02 19:35:20] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Asdf","uid":"'67ed43b0c39e7'"}
[2025-04-02 19:36:49] User -> District deleted -> admin@pds| Requested JSON -> {"uid":"67ed43b0c39e7"} | Asdf
[2025-04-02 20:03:00] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:03:17] User -> Warehouse Added -> | dhe
[2025-04-02 20:18:09] User -> Warehouse Edit->admin@pds| Requested JSON -> {"name":"dhe","uniqueid":"WH_67ed4aad86f2","active":"1","type":"motorable","latitude":"23.131879","storage":"20000","district":"Ahmedabad","id":"6","warehousetype":"swc","longitude":"72.047362"}
[2025-04-02 20:19:13] User -> Warehouse InActive -> admin@pds| dhe
[2025-04-02 20:19:14] User -> Warehouse Active -> admin@pds| dhe
[2025-04-02 20:19:46] User -> Warehouse added ->admin@pds| Requested JSON -> {"name":"test","type":"motorable","latitude":"9.89","storage":"0","district":"Ahmedabad","id":"123qwe","warehousetype":"swc","longitude":"76.7661"}
[2025-04-02 20:19:53] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"WH_67ed4e8ab034"} | Test
[2025-04-02 20:20:26] User -> Warehouse Edit -> | dhe
[2025-04-02 20:20:26] User -> Warehouse Edit -> | dhe
